Sample,True concentration (pg/mL)
Sample01,1367.84
Sample02,1322.41
Sample03,4200.0
Sample04,114.29
Sample05,206.29
Sample06,28.73
Sample07,1.5
Sample08,8.16
Sample09,31.87
Sample10,635.74
Sample11,45.0
Sample12,175.73
Sample13,42.43
Sample14,56.78
Sample15,182.08
Sample16,17.43
Sample17,63.96
Sample18,24.29
Sample19,730.6
Sample20,628.96
Sample21,151.7
Sample22,964.76
Sample23,769.24
Sample24,55.86
Sample25,9.74
Sample26,135.35
Sample27,9.11
Sample28,15.09
Sample29,73.05
Sample30,47.33
Sample31,50.15
Sample32,875.82
Sample33,8.22
Sample34,16.21
Sample35,8.61
Sample36,113.18
Sample37,22.3
Sample38,47.79
Sample39,46.33
Sample40,79.45
