Well,Wavelength,Absorbance
A1,450,2.652
A2,450,2.658
A3,450,2.6667
A4,450,2.3521
A5,450,1.175
A6,450,1.3896
A7,450,1.7117
A8,450,2.2203
A9,450,0.4671
A10,450,1.7973
A11,450,0.4033
A12,450,0.8926
B1,450,2.5693
B2,450,2.5594
B3,450,2.6494
B4,450,2.3324
B5,450,1.1744
B6,450,1.4
B7,450,1.7147
B8,450,2.2416
B9,450,0.4755
B10,450,1.8223
B11,450,0.3903
B12,450,0.9283
C1,450,2.4093
C2,450,2.4017
C3,450,2.6483
C4,450,1.0985
C5,450,2.6084
C6,450,1.6213
C7,450,0.967
C8,450,2.6456
C9,450,2.1807
C10,450,1.4682
C11,450,0.7077
C12,450,1.4921
D1,450,2.1277
D2,450,2.1443
D3,450,2.6675
D4,450,1.085
D5,450,2.6238
D6,450,1.6306
D7,450,0.9843
D8,450,2.6535
D9,450,2.168
D10,450,1.4782
D11,450,0.7297
D12,450,1.4729
E1,450,1.678
E2,450,1.6764
E3,450,2.7099
E4,450,0.1174
E5,450,1.9413
E6,450,2.3051
E7,450,2.618
E8,450,2.6265
E9,450,0.4256
E10,450,1.5177
E11,450,0.4209
E12,450,1.4609
F1,450,1.165
F2,450,1.1634
F3,450,2.7086
F4,450,0.095
F5,450,1.0586
F6,450,2.2971
F7,450,2.6224
F8,450,2.6155
F9,450,0.4453
F10,450,1.5173
F11,450,0.4128
F12,450,1.4409
G1,450,0.6982
G2,450,0.6856
G3,450,2.0478
G4,450,0.4109
G5,450,2.2737
G6,450,0.7464
G7,450,2.6144
G8,450,1.5958
G9,450,0.6531
G10,450,2.6474
G11,450,2.0486
G12,450,1.8701
H1,450,0.0449
H2,450,0.0478
H3,450,2.0715
H4,450,0.3933
H5,450,2.2889
H6,450,0.7537
H7,450,2.6022
H8,450,1.6152
H9,450,0.6738
H10,450,2.6287
H11,450,2.059
H12,450,1.8521
